,datedim,vehicle_name,port_name,vehicle_type,eva_name,eva_type,eva_accuracy,event
1399,10/23/2025,,,,,,,
1400,10/24/2025,,,,,,,
1401,10/25/2025,,,,,,,
1402,10/26/2025,,,,,,,
1403,10/27/2025,,,,,,,
1404,10/28/2025,,,,,,,
1405,10/29/2025,,,,,,,
1406,10/30/2025,,,,,,,
1407,10/31/2025,,,,,,,
1408,11/1/2025,NG-24,N1 Nadir,CRS2 Cygnus,,,,Launch
1409,11/2/2025,NG-24,N1 Nadir,CRS2 Cygnus,,,,Dock
1410,11/3/2025,,,,,,,
1411,11/4/2025,,,,,,,
1412,11/5/2025,,,,,,,
1413,11/6/2025,,,,,,,
1414,11/7/2025,,,,,,,
1415,11/8/2025,,,,,,,
1416,11/9/2025,,,,,,,
1417,11/10/2025,,,,,,,
1418,11/11/2025,,,,,,,
1419,11/12/2025,,,,,,,
1420,11/13/2025,,,,,,,
1421,11/14/2025,,,,,,,
1422,11/15/2025,,,,,,,
1423,11/16/2025,,,,,,,
1424,11/17/2025,,,,,,,
1425,11/18/2025,,,,,,,
1426,11/19/2025,,,,,,,
1427,11/20/2025,,,,,,,
1428,11/21/2025,,,,,,,
1429,11/22/2025,,,,,,,
1430,11/23/2025,,,,,,,
1431,11/24/2025,,,,,,,
1432,11/25/2025,,,,,,,
1433,11/26/2025,PAM-7,N2 Zenith,PAM,,,,Launch
1434,11/27/2025,PAM-7,N2 Zenith,PAM,,,,Dock
1435,11/28/2025,,,,,,,
1436,11/29/2025,,,,,,,
1437,11/30/2025,,,,,,,
1438,12/1/2025,,,,,,,
1439,12/2/2025,,,,,,,
1440,12/3/2025,,,,,,,
1441,12/4/2025,,,,,,,
1442,12/5/2025,,,,,,,
1443,12/6/2025,,,,,,,
1444,12/7/2025,,,,,,,
1445,12/8/2025,,,,,,,
1446,12/9/2025,,,,,,,
1447,12/10/2025,,,,,,,
1448,12/11/2025,PAM-7,N2 Zenith,PAM,,,,Undock
1449,12/12/2025,,,,,,,
1450,12/13/2025,,,,,,,
1451,12/14/2025,,,,,,,
1452,12/15/2025,,,,,,,
1453,12/16/2025,,,,,,,
1454,12/17/2025,,,,,,,
1455,12/18/2025,92Progress,MRM2 / SM Zenith,Progress,,,,Undock
1456,12/19/2025,CRS 2-24,N2 Nadir,CRS2,,,,Undock
1457,12/20/2025,94Progress,MRM2 / SM Zenith,Progress,,,,Launch
1458,12/21/2025,,,,,,,
1459,12/22/2025,94Progress,MRM2 / SM Zenith,Progress,,,,Dock
1460,12/23/2025,,,,,,,
1461,12/24/2025,,,,,,,
1462,12/25/2025,,,,,,,
1463,12/26/2025,,,,,,,
1464,12/27/2025,,,,,,,
1465,12/28/2025,,,,,,,
1466,12/29/2025,,,,,,,
1467,12/30/2025,,,,,,,
1468,12/31/2025,,,,,,,
