,datedim,vehicle_name,port_name,vehicle_type,eva_name,eva_type,eva_accuracy,event
371,1/7/2023,,,,,,,
372,1/8/2023,,,,,,,
373,1/9/2023,SpX-26,N2 Zenith,Cargo Dragon,,,,Undock
374,1/10/2023,,,,,,,
375,1/11/2023,SpX-26,N2 Zenith,Cargo Dragon,,,,Landing
376,1/12/2023,,,,,,,
377,1/13/2023,,,,,,,
378,1/14/2023,,,,,,,
379,1/15/2023,,,,,,,
380,1/16/2023,,,,,,,
381,1/17/2023,,,,,,,
382,1/18/2023,,,,,,,
383,1/19/2023,,,,,,,
384,1/20/2023,,,,U-84 (IROSA Prep 1A),US,Actual,EVA
385,1/21/2023,,,,,,,
386,1/22/2023,,,,,,,
387,1/23/2023,,,,U (P1 SASA R&R II),US,Not Needed,EVA
388,1/24/2023,,,,,,,
389,1/25/2023,,,,,,,
390,1/26/2023,,,,,,,
391,1/27/2023,,,,,,,
392,1/28/2023,,,,,,,
393,1/29/2023,,,,,,,
394,1/30/2023,,,,,,,
395,1/31/2023,,,,,,,
396,2/1/2023,,,,,,,
397,2/2/2023,,,,U-85 (IROSA Prep 1A Troubleshooting),US,Actual,EVA
398,2/3/2023,,,,,,,
399,2/4/2023,,,,,,,
400,2/5/2023,,,,,,,
401,2/6/2023,,,,,,,
402,2/7/2023,81Progress,SM-Aft,Progress,,,,Undock
403,2/8/2023,,,,,,,
404,2/9/2023,83Progress,SM-Aft,Progress,,,,Launch
405,2/10/2023,,,,,,,
406,2/11/2023,83Progress,SM-Aft,Progress,,,,Dock
407,2/12/2023,,,,,,,
408,2/13/2023,,,,,,,
409,2/14/2023,,,,,,,
410,2/15/2023,,,,,,,
411,2/16/2023,,,,,,,
412,2/17/2023,,,,,,,
413,2/18/2023,82Progress,MRM2 / SM Zenith,Progress,,,,Undock
414,2/19/2023,,,,,,,
415,2/20/2023,,,,,,,
416,2/21/2023,,,,,,,
417,2/22/2023,,,,,,,
418,2/23/2023,,,,,,,
